,BT12,BT16,CHLA04,CHLA05,CHLA06,CHLA266
OST4,1411.664081,1594.082762,1467.206747,974.9691878,1858.761587,1327.228484
EMC4,1697.830755,1916.919998,1409.587172,1458.966204,1103.667515,1375.052537
SIKE1,957.6906067,1481.114494,1458.807964,1402.548634,1365.626679,1980.918874
TTC28,1509.969674,1492.247775,1368.987959,2279.7862,1136.907725,409.9618739
SMARCD2,1430.092564,2181.829628,1035.004884,681.7313282,1427.630488,1478.242836
FBXO28,1333.141396,1217.781102,1425.601325,1415.991087,1424.964247,1595.030662
ZNF362,680.1665261,999.8283443,1649.022035,1351.172985,2119.117188,1431.842526
GPX8,2519.385482,1824.017572,1183.099028,576.6414331,1599.074819,31.31951022
TCEAL9,3052.568187,2.967068219,1487.913711,1281.676961,1518.234725,944.3207507
RXRB,1425.122115,1509.128876,1342.560324,1204.776162,1796.44783,828.7999241
DYM,1223.669241,1452.477817,1423.123069,1294.276205,978.8782863,1748.71866
VAMP2,1437.46502,1206.944972,1434.234711,956.7589803,1283.057161,1801.398414
FAM120B,1290.965746,839.478662,1425.08235,1773.213793,1410.217033,1153.505784
MID1IP1,2375.052784,1238.046985,1414.170432,1612.88418,516.0904988,9.512449234
NEURL4,1583.194599,1092.834482,1434.372324,1322.610093,1242.336469,1310.03431
NDUFAB1,1376.625016,1847.748817,1249.109452,858.5055373,1171.301414,1457.579308
MYL6B,844.9897361,1434.035373,1697.271539,1308.932226,1217.12552,1299.743992
MAPK3,936.0312409,1433.815456,1647.345147,1163.280268,1363.6631,1231.23686
ERI3,1633.855676,1373.675797,1403.275994,987.7975282,1212.280831,1176.421115
MTX3,1098.712192,1326.575172,1282.046397,1503.892981,982.353505,1290.826535
ZNF445,583.5589713,1078.630611,1208.847233,2118.385478,1569.391174,1358.706346
KIAA2013,1682.110268,1173.891728,868.1218824,1210.674981,1382.79802,1345.054423
GOLGA8A,1289.313192,1260.805108,1125.423755,907.7771756,1453.937814,1625.64059
GTPBP3,1077.351871,1422.663669,1786.930834,603.0257598,1226.607822,1318.092916
ZBED5,983.9371108,1172.129574,1302.296621,1607.959627,1462.923489,1237.671919
NSRP1,1544.930967,1364.255081,1165.014152,1242.074261,1296.341278,999.1880246
SLC41A1,1178.153649,929.3654645,1703.557125,1272.450481,1240.03587,1337.812418
TYRO3,191.929581,1006.948372,1113.530655,1594.579677,1387.099722,2325.818213
TTC14,1072.922448,1212.289674,1503.655395,1256.730021,1345.533067,926.5971311
MPG,731.6777043,1333.713553,1239.425186,903.4913225,1600.409395,1221.932884
MRPS23,1680.622592,1273.744682,1167.219254,864.8894615,1146.274843,1380.679014
PRR36,203.7736321,1173.0234,1289.869305,1246.989293,540.7161482,1922.182505
BRWD3,729.7778587,1184.776055,1158.938306,1230.375803,1636.289158,1833.151677
CASP2,664.6320536,1230.03622,1187.309093,1707.975733,1002.771219,1223.306667
SMAP1,1506.920462,1202.379743,811.4873217,988.2308312,1192.051755,1315.313348
C1orf122,1287.393837,673.68073,1376.707065,1091.060312,1102.845825,1896.465484
RBX1,1158.137742,1493.73053,1214.785363,1068.40388,1217.013745,757.5306249
CD47,1263.060659,1028.671522,1709.225344,1097.046846,2887.518016,57.26103635
E4F1,965.4303964,1186.733196,1339.792411,1169.041427,1214.613629,1032.800636
ZBED4,1059.364154,1239.069956,1285.470326,1663.070026,1109.068741,776.7540331
ZRANB1,1172.325959,932.0356688,1134.209728,1198.655909,1168.295284,1503.169276
LYRM2,1468.320729,903.8157842,1126.029044,1336.495278,1144.734295,1185.732663
SOCS7,1160.955779,1306.888435,1155.360392,1821.024631,653.8427593,1107.770604
SRGAP2,704.685016,1073.530374,1178.445685,1649.717714,1153.785376,1155.987687
NDUFC1,1175.49083,1120.683197,1569.640382,828.2716937,1317.719484,1064.645646
PRKD3,114.5829793,1030.177126,1394.543134,1229.794921,1996.811624,993.2448826
ZNF740,1110.039996,1319.167297,1143.035825,1073.515806,1442.576836,834.4502821
LCOR,1174.320119,968.2275089,679.0749335,1049.811153,1244.79107,1587.964795
ANAPC13,1046.052851,1082.337775,1135.022106,1326.533221,809.2427885,1513.471331
STX12,984.5551534,644.645873,1708.553888,1329.708894,992.7700644,1210.865368
TLE1,991.1392527,47.5733287,1242.736008,2099.983187,499.3976926,1208.073071
SLC50A1,1696.923225,1370.516717,874.3219917,562.4270101,961.4825132,1236.376498
ANKRD9,1521.681128,1114.98816,1081.242832,1237.977316,572.8430862,859.4855273
RHBDD3,983.2340773,1101.704101,1232.009509,1082.911639,1453.757013,656.3781153
PRPF3,1004.542918,863.8415027,1121.716611,1061.777488,1349.779826,1210.276846
MTF2,616.5570274,1203.612967,897.0788071,1224.37792,921.9110694,1566.674351
RNF5,419.1858396,1132.217874,1093.143352,1558.681486,1030.162979,855.8700426
COA7,1588.950618,1251.980412,1154.618171,912.7456178,954.9777893,598.8298123
KMT5A,1041.66549,1422.43418,1049.330788,1055.49848,1036.170335,735.8057991
CHKA,1144.489738,1058.274378,823.8490547,1547.014197,575.3030453,1031.327964
CCDC9,920.8370035,1076.573556,1134.519281,1404.191762,1006.848455,561.7878067
RFLNB,972.984676,260.7506818,794.3703594,1902.12048,1096.595742,1355.415644
PURA,1588.553717,793.5194982,471.5166521,935.1602132,1184.216804,1118.406958
C9orf16,1132.462752,1704.244454,1051.910351,1000.489366,954.533642,425.5144879
CCDC117,982.7467753,1067.983834,868.8129995,1316.176741,1055.098429,671.9330039
KNSTRN,988.0839114,1048.910433,928.9306234,1230.712442,517.2424694,1513.393521
ELP5,1024.532093,1008.951683,1165.933768,1067.431899,848.7299058,940.0881632
DCXR,1137.013056,974.1304984,846.0967666,1058.686609,251.5988433,1630.567425
EPS15L1,1124.851773,883.8652328,969.8322902,1033.584548,994.4197851,1041.841077
TMEM167B,1076.842708,988.5977218,951.0155357,1358.46522,1031.107933,551.6181636
SEC61G,1326.707967,921.2466462,1065.219765,720.8367569,993.2566261,1024.704129
